"Titre";"Catégorie";"Type";"Date";"Heure";"Lieu";"Participants";"Capacité";"Statut";"Organisateur"
"Running bord de mer";"Running";"Voyageurs";"2026-07-22";"18:30";"Réception du Domaine des Pins";"4";"8";"ouverte";"Julien"
"Tournoi de football";"Autre";"Camping";"2026-07-24";"17:00";"Stade du camping";"12";"20";"ouverte";"Équipe animation"
"Paddle au coucher du soleil";"Paddle";"Voyageurs";"2026-07-23";"20:00";"Plage principale";"2";"6";"ouverte";"Maxime"
"Randonnée des falaises";"Randonnée";"Voyageurs";"2026-07-25";"09:30";"Parking du sentier";"5";"10";"ouverte";"Thomas"
"Beach volley";"Autre";"Voyageurs";"2026-07-22";"17:00";"Terrain de plage";"6";"8";"live";"Chloé"
"Canoë sur la rivière";"Autre";"Voyageurs";"2026-07-22";"16:00";"Embarcadère";"3";"6";"live";"Lucas"
"Pétanque";"Pétanque";"Voyageurs";"2026-07-22";"15:15";"Terrain de boules";"8";"12";"live";"Thierry"
"Tennis";"Tennis";"Voyageurs";"2026-07-22";"12:00";"Courts de tennis";"2";"4";"live";"Sophie"
"Partie de belote entre amis";"Jeux de cartes";"Voyageurs";"2026-07-22";"16:00";"Terrasse du bar";"4";"6";"ouverte";"Lucas"
"Soirée jeux de société";"Jeux de société";"Voyageurs";"2026-07-23";"20:00";"Salle commune";"6";"8";"ouverte";"Emma"
"Atelier peinture sur céramique";"Activités créatives";"Voyageurs";"2026-07-24";"15:00";"Espace créatif";"5";"8";"ouverte";"Margot"
"Cercle de lecture";"Lecture & culture";"Voyageurs";"2026-07-26";"19:00";"Bibliothèque du camping";"3";"6";"ouverte";"Sullivan"
"Sortie catamaran aux îles";"Excursion bateau";"Voyageurs";"2026-07-23";"09:30";"Port — quai 3";"5";"8";"ouverte";"Lucas"
"Visite du village médiéval";"Visite";"Voyageurs";"2026-07-24";"10:00";"Place du village";"6";"10";"ouverte";"Emma"
"Journée plage et baignade";"Plage";"Voyageurs";"2026-07-23";"11:00";"Plage principale";"8";"12";"ouverte";"Julie"
"Promenade chien sur la plage";"Promenade chien";"Voyageurs";"2026-07-26";"09:00";"Accès plage nord";"4";"6";"ouverte";"Thomas"
"Barbecue plage et grillades";"Barbecue";"Voyageurs";"2026-07-25";"12:00";"Aire de pique-nique";"9";"12";"ouverte";"Lucas"
"Apéro sunset au bar de la plage";"Soirée / Apéro";"Voyageurs";"2026-07-22";"18:30";"Bar de la plage";"6";"10";"ouverte";"Emma"
"Dîner en terrasse au Bistrot";"Restaurant";"Voyageurs";"2026-07-23";"19:30";"Le Bistrot";"7";"8";"ouverte";"Julie"
"Soirée dansante à la paillote";"Soirée / Apéro";"Voyageurs";"2026-07-27";"21:00";"La Paillote";"12";"20";"ouverte";"Thomas"
